Date,Scan ID,Release Version,Observation Day,Rank,Symbol,Score,HC,Golden,Risk,RR,Sector,Sector Rotation Score
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,1,PFIZER,57,0,0,25,3.1,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,2,MARKSANS,56,0,0,52,3.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,3,SHILPAMED,55,0,0,61,3.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,4,MANKIND,54,0,0,25,2.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,5,NEULANDLAB,54,0,0,33,3.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,6,VSTIND,52,0,0,15,1.8,FMCG,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,7,SUPRIYA,52,0,0,60,2.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,8,BSE,51,0,0,23,2.5,Finance,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,9,PARAS,51,0,0,54,3.5,Defence,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,10,GUFICBIO,51,0,0,61,3.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,11,IOLCP,51,0,0,78,3.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,12,RPSGVENT,51,0,0,33,2.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,13,SUNPHARMA,51,0,0,23,1.8,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,14,SOBHA,50,0,0,25,1.8,Realty,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,15,STARCEMENT,50,0,0,33,1.8,Cement,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,16,CAPLIPOINT,50,0,0,31,3.5,Pharma,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,17,BAJAJ-AUTO,49,0,0,23,1.8,Auto,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,18,FINEORG,49,0,0,23,1.8,Chemicals,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,19,GIPCL,49,0,0,41,3.5,Power,5.0
2026-06-08,scan_manual_1780912272_5903ae,R1.0,1,20,TNPL,49,0,0,25,1.8,Paper,5.0
2026-06-09,scan_manual_1780994993_a2c72f,R1.0,2,1,SOLARA,66,0,0,36,2.8,Pharma,5.0
